Time,Latitude,Longitude,Course,Speed_kts,Speed_mph,Altitude_feet,ClimbRate,ReportingFacility,FlightType,FlightNumber,ScrapeTime
Mon 07:13:52 AM,51.5050,0.0604,→ 95°,136,157,,,FlightAware ADS-B (LCY / EGLC),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:14:08 AM,51.5043,0.0751,→ 92°,125,144,950,"3,047",FlightAware ADS-B (LCY / EGLC),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:14:24 AM,51.5041,0.0909,→ 92°,131,151,"1,575","1,641",FlightAware ADS-B (LCY / EGLC),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:14:40 AM,51.5055,0.1075,→ 71°,151,174,"1,825","1,078",FlightAware ADS-B (SEN / EGMC),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:14:56 AM,51.5104,0.1241,↗ 53°,169,194,"2,150","1,313",FlightAware ADS-B (EGML),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:15:12 AM,51.5207,0.1376,↗ 30°,186,214,"2,525","1,547",FlightAware ADS-B (LCY / EGLC),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:15:28 AM,51.5341,0.1485,↗ 26°,205,236,"2,975","2,045",FlightAware ADS-B (LHR / EGLL),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:15:45 AM,51.5485,0.1598,↗ 30°,208,239,"3,650","1,591",FlightAware ADS-B (EGTR),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:16:01 AM,51.5589,0.1776,↗ 61°,206,237,"3,850",353,FlightAware ADS-B (EGWE),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:16:19 AM,51.5687,0.1994,↗ 37°,211,243,"3,850","1,278",FlightAware ADS-B (EGTR),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:16:55 AM,51.5995,0.2312,↗ 33°,240,276,"5,000","1,760",FlightAware ADS-B (EGLW),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:17:11 AM,51.6148,0.2470,↗ 33°,256,295,"5,375","1,456",FlightAware ADS-B (EGML),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:17:29 AM,51.6328,0.2660,↗ 34°,259,298,"5,825","1,467",FlightAware ADS-B (LGW / EGKK),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:17:56 AM,51.6614,0.2952,↗ 32°,267,307,"6,475","1,356",FlightAware ADS-B (CQF / LFAC),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:18:21 AM,51.6879,0.3218,↗ 32°,265,305,"7,000",643,FlightAware ADS-B (STN / EGSS),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:18:45 AM,51.7111,0.3455,↗ 32°,264,304,"7,000",,FlightAware ADS-B (LHR / EGLL),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:19:09 AM,51.7362,0.3709,↗ 32°,263,303,"7,000",778,FlightAware ADS-B (RCS / EGTO),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:19:39 AM,51.7677,0.4026,↗ 32°,268,308,"7,700","1,781",FlightAware ADS-B (EGMT),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:19:57 AM,51.7835,0.4255,↗ 56°,272,313,"8,425","2,735",FlightAware ADS-B (ESH / EGKA),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:20:13 AM,51.7926,0.4567,→ 74°,275,316,"9,250","2,906",FlightAware ADS-B (EGLW),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:20:29 AM,51.7960,0.4887,→ 83°,280,322,"9,975","2,288",FlightAware ADS-B (MHZ / EGUN),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:20:53 AM,51.8002,0.5406,→ 83°,299,344,"10,775","1,739",FlightAware ADS-B (NHT / EGWU),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:21:13 AM,51.8037,0.5840,→ 82°,312,359,"11,250","1,855",FlightAware ADS-B (SOU / EGHI),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:21:31 AM,51.8072,0.6267,→ 83°,316,364,"11,950","2,526",FlightAware ADS-B (RCS / EGTO),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:21:51 AM,51.8110,0.6735,→ 83°,316,364,"12,850","2,755",FlightAware ADS-B (LTN / EGGW),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:22:20 AM,51.8166,0.7437,→ 83°,318,366,"14,200","2,457",FlightAware ADS-B (EGTC),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:23:00 AM,51.8240,0.8353,→ 83°,325,374,"15,675","2,143",FlightAware ADS-B (EGTH),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:23:30 AM,51.8298,0.9086,→ 83°,333,383,"16,700","2,175",FlightAware ADS-B (EGSM),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:24:00 AM,51.8359,0.9867,→ 83°,338,389,"17,850","1,551",FlightAware ADS-B (EBFN),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:24:59 AM,51.8486,1.1357,→ 77°,352,405,"19,000",633,FlightAware ADS-B (EGNY),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:25:49 AM,51.8779,1.2570,→ 67°,362,417,"19,000",,FlightAware ADS-B (LCY / EGLC),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:26:19 AM,51.8984,1.3335,→ 67°,363,418,"19,000",,FlightAware ADS-B (EGSV),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:26:49 AM,51.9190,1.4101,→ 67°,363,418,"19,000",,FlightAware ADS-B (LTN / EGGW),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:27:19 AM,51.9392,1.4856,→ 67°,362,417,"19,000",,FlightAware ADS-B (NWI / EGSH),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:27:49 AM,51.9589,1.5598,→ 67°,362,417,"19,000",,FlightAware ADS-B (EBUL),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:28:07 AM,51.9705,1.6032,→ 67°,362,417,"19,000",,FlightAware ADS-B (EGNE),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:28:29 AM,51.9855,1.6615,→ 69°,362,417,"19,000",,FlightAware ADS-B (HUY / EGNJ),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:28:51 AM,51.9958,1.7136,→ 75°,364,419,"19,000",,FlightAware ADS-B (CBG / EGSC),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:29:20 AM,52.0079,1.7900,→ 75°,366,421,"19,000",,FlightAware ADS-B (OXF / EGTK),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:29:51 AM,52.0213,1.8751,→ 76°,366,421,"19,000",,FlightAware ADS-B (RCS / EGTO),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:30:21 AM,52.0333,1.9522,→ 76°,367,422,"19,000",,FlightAware ADS-B (MHZ / EGUN),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:30:41 AM,52.0415,2.0053,→ 76°,367,422,"19,000",,FlightAware ADS-B (QUY / EGUY),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:31:11 AM,52.0543,2.0892,→ 76°,368,423,"19,000",,FlightAware ADS-B (EBUL),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:31:41 AM,52.0665,2.1687,→ 76°,368,423,"19,000",,FlightAware ADS-B (EGCL),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:32:05 AM,52.0759,2.2312,→ 76°,368,423,"19,000",,FlightAware ADS-B (EGSM),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:32:35 AM,52.0877,2.3091,→ 76°,367,422,"19,000",,FlightAware ADS-B (FAB / EGLF),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:33:05 AM,52.1004,2.3932,→ 76°,367,422,"19,000",,FlightAware ADS-B (QUY / EGUY),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:33:33 AM,52.1117,2.4659,→ 74°,367,422,"19,000",,FlightAware ADS-B (SEN / EGMC),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:33:54 AM,52.1244,2.5211,→ 66°,366,421,"19,000",,FlightAware ADS-B (EBAM),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:34:34 AM,52.1524,2.6198,↗ 65°,365,420,"19,000",-43,FlightAware ADS-B (EBGB),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:35:04 AM,52.1743,2.6973,↗ 65°,365,420,"18,950",-550,FlightAware ADS-B (EHVB),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:35:34 AM,52.1940,2.7671,↗ 65°,340,391,"18,450",-975,FlightAware ADS-B (EGSR),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:36:04 AM,52.2139,2.8371,↗ 65°,325,374,"17,975",-950,FlightAware ADS-B (EHVB),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:36:34 AM,52.2317,2.9004,↗ 65°,327,376,"17,500",-975,FlightAware ADS-B (EGSD),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:37:04 AM,52.2508,2.9680,↗ 65°,332,382,"17,000","-1,025",FlightAware ADS-B (CBG / EGSC),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:37:34 AM,52.2701,3.0370,→ 66°,330,380,"16,475","-1,000",FlightAware ADS-B (EHSE),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:38:04 AM,52.2891,3.1047,→ 66°,326,375,"16,000",-975,FlightAware ADS-B (GLZ / EHGR),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:38:34 AM,52.3077,3.1716,→ 66°,329,379,"15,500","-1,000",FlightAware ADS-B (RTM / EHRD),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:39:04 AM,52.3268,3.2402,→ 66°,327,376,"15,000","-1,025",FlightAware ADS-B (EGUW),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:39:34 AM,52.3458,3.3089,→ 66°,316,364,"14,475","-1,000",FlightAware ADS-B (UTC / EHSB),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:40:04 AM,52.3621,3.3676,→ 66°,299,344,"14,000","-1,000",FlightAware ADS-B (EHHV),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:40:34 AM,52.3794,3.4305,→ 66°,294,338,"13,475","-1,025",FlightAware ADS-B (BEQ / EGXH),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:41:04 AM,52.3964,3.4924,→ 66°,294,338,"12,975",-975,FlightAware ADS-B (AMS / EHAM),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:41:34 AM,52.4128,3.5523,→ 66°,296,341,"12,500","-1,000",FlightAware ADS-B (AMS / EHAM),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:42:04 AM,52.4296,3.6138,→ 66°,292,336,"11,975","-1,000",FlightAware ADS-B (AMS / EHAM),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:42:34 AM,52.4460,3.6736,→ 66°,288,331,"11,500",-975,FlightAware ADS-B (AMS / EHAM),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:43:04 AM,52.4620,3.7325,→ 66°,290,334,"11,000","-1,000",FlightAware ADS-B (AMS / EHAM),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:43:31 AM,52.4772,3.7892,→ 67°,289,333,"10,550","-1,011",FlightAware ADS-B (AMS / EHAM),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:43:50 AM,52.4783,3.8307,→ 99°,293,337,"10,225","-1,026",FlightAware ADS-B (EHHA),Arrivals,CFE8489,2025-03-24 13:04:30
Mon 07:44:09 AM,52.4673,3.8686,↘ 119°,295,339,"9,900",-947,FlightAware ADS-B (AMS / EHAM),Arrivals,CFE8489,2025-03-24 13:04:30
